sample	path
CM3104_110-plasma	data/Sevy_8986_240805A9/CM3104_110-plasma_S70_L008_R1_001.fastq.gz
CF4162_C-P	data/Sevy_8986_240805A9/CF4162_C-P_S74_L008_R1_001.fastq.gz
CM4144_C-P	data/Sevy_8986_240805A9/CM4144_C-P_S81_L008_R1_001.fastq.gz
CM113-P	data/Sevy_8986_240805A9/CM113-P_S59_L008_R1_001.fastq.gz
CF3125_C-plasma	data/Sevy_8986_240805A9/CF3125_C-plasma_S67_L008_R1_001.fastq.gz
CF3111_91-plasma	data/Sevy_8986_240805A9/CF3111_91-plasma_S68_L008_R1_001.fastq.gz
CM4131_91-P	data/Sevy_8986_240805A9/CM4131_91-P_S76_L008_R1_001.fastq.gz
CF4154_91-P	data/Sevy_8986_240805A9/CF4154_91-P_S75_L008_R1_001.fastq.gz
CM123-P	data/Sevy_8986_240805A9/CM123-P_S63_L008_R1_001.fastq.gz
CF3124_110-plasma	data/Sevy_8986_240805A9/CF3124_110-plasma_S71_L008_R1_001.fastq.gz
CF133-P	data/Sevy_8986_240805A9/CF133-P_S55_L008_R1_001.fastq.gz
CF144-P	data/Sevy_8986_240805A9/CF144-P_S61_L008_R1_001.fastq.gz
CM3091_91-plasma	data/Sevy_8986_240805A9/CM3091_91-plasma_S69_L008_R1_001.fastq.gz
CM4133_91-P	data/Sevy_8986_240805A9/CM4133_91-P_S83_L008_R1_001.fastq.gz
CF145-P	data/Sevy_8986_240805A9/CF145-P_S62_L008_R1_001.fastq.gz
CF142-P	data/Sevy_8986_240805A9/CF142-P_S56_L008_R1_001.fastq.gz
CM4141_C-P	data/Sevy_8986_240805A9/CM4141_C-P_S77_L008_R1_001.fastq.gz
CM105_C-plasma	data/Sevy_8986_240805A9/CM105_C-plasma_S66_L008_R1_001.fastq.gz
CM3102_110-plasma	data/Sevy_8986_240805A9/CM3102_110-plasma_S72_L008_R1_001.fastq.gz
CM4134_91-P	data/Sevy_8986_240805A9/CM4134_91-P_S84_L008_R1_001.fastq.gz
CM4142_C-P	data/Sevy_8986_240805A9/CM4142_C-P_S79_L008_R1_001.fastq.gz
CM122-P	data/Sevy_8986_240805A9/CM122-P_S60_L008_R1_001.fastq.gz
CM4143_C-P	data/Sevy_8986_240805A9/CM4143_C-P_S80_L008_R1_001.fastq.gz
CF135-P	data/Sevy_8986_240805A9/CF135-P_S58_L008_R1_001.fastq.gz
CM3095_C-plasma	data/Sevy_8986_240805A9/CM3095_C-plasma_S65_L008_R1_001.fastq.gz
CF134-P	data/Sevy_8986_240805A9/CF134-P_S57_L008_R1_001.fastq.gz
CF3122_110-plasma	data/Sevy_8986_240805A9/CF3122_110-plasma_S73_L008_R1_001.fastq.gz
CM4142_C2-P	data/Sevy_8986_240805A9/CM4142_C2-P_S82_L008_R1_001.fastq.gz
CM124-P	data/Sevy_8986_240805A9/CM124-P_S64_L008_R1_001.fastq.gz
CF4161_C-P	data/Sevy_8986_240805A9/CF4161_C-P_S78_L008_R1_001.fastq.gz
